"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RNASET2",1.07147072143265e-15,1.0498060969191,0.301,0.132,1.8566444660985e-11
"PHTF2",1.85065247961486e-15,0.978991641152946,0.263,0.106,3.20681061667664e-11
"GLRX",2.07973324811672e-15,1.11799687242727,0.316,0.149,3.60376177233665e-11
"ACAP1",2.11511100415691e-15,0.743970793838509,0.365,0.165,3.66506434800309e-11
"ENO1",3.33246713752353e-15,0.623617927076006,0.65,0.484,5.77449905590078e-11
"HMGN1",1.00870994157713e-14,0.780610041101631,0.474,0.283,1.74789258676485e-10
"SRSF2",1.80534035681671e-14,0.765555006736161,0.564,0.369,3.12829377029199e-10
"DDIT4",2.60896623380114e-14,0.830924117926792,0.274,0.114,4.52081668993061e-10
"ACTB",5.36455407814701e-14,0.272934017259753,0.974,0.911,9.29569930661313e-10
"UCP2",6.8836508180552e-14,0.859828643544508,0.263,0.113,1.1927990137526e-09
"FNBP1",7.824191258553e-14,0.816661085269172,0.41,0.223,1.35577586128206e-09
"EZR",8.02965691696715e-14,0.817292691404564,0.335,0.159,1.39137895057207e-09
"AHI1",1.33684756767632e-13,0.821747974157514,0.38,0.199,2.31648946526953e-09
"FAM129A",2.52628113265027e-13,0.779701820682139,0.361,0.182,4.3775399466564e-09
"HLA-E",3.95134798487613e-13,0.606093717836245,0.62,0.429,6.84689578819335e-09
"DDX39A",5.39120499890086e-13,0.835373499857796,0.259,0.114,9.34188002209542e-09
"EIF5A",6.33935892232097e-13,0.713747632155451,0.549,0.368,1.09848411405978e-08
"HLA-F",6.88722241117742e-13,0.909327570405383,0.301,0.145,1.19341789940882e-08
