"","from","to","source","path","from.Role","to.Role"
"1","CCL4L1","CCR5","NicheNet","CCL4L1*CCR5","Ligand","Receptor"
"2","CCL3L3","CCR5","NicheNet","CCL3L3*CCR5","Ligand","Receptor"
"3","CCL13","CCR2","NicheNet","CCL13*CCR2","Ligand","Receptor"
"4","CCL13","CCR3","NicheNet","CCL13*CCR3","Ligand","Receptor"
"5","CCL15","CCR3","NicheNet","CCL15*CCR3","Ligand","Receptor"
"6","CCL8","CCR3","NicheNet","CCL8*CCR3","Ligand","Receptor"
"7","IL6","IL6ST","NicheNet","IL6*IL6ST","Ligand","Receptor"
"8","IL6","IL6R","NicheNet","IL6*IL6R","Ligand","Receptor"
"9","IL11","IL11RA","NicheNet","IL11*IL11RA","Ligand","Receptor"
"10","IL11","IL6ST","NicheNet","IL11*IL6ST","Ligand","Receptor"
"11","OSM","LIFR","NicheNet","OSM*LIFR","Ligand","Receptor"
"12","OSM","IL6ST","NicheNet","OSM*IL6ST","Ligand","Receptor"
"13","OSM","OSMR","NicheNet","OSM*OSMR","Ligand","Receptor"
"14","LIF","LIFR","NicheNet","LIF*LIFR","Ligand","Receptor"
"15","LIF","IL6ST","NicheNet","LIF*IL6ST","Ligand","Receptor"
"16","CNTF","CNTFR","NicheNet","CNTF*CNTFR","Ligand","Receptor"
"17","CNTF","LIFR","NicheNet","CNTF*LIFR","Ligand","Receptor"
"18","CNTF","IL6ST","NicheNet","CNTF*IL6ST","Ligand","Receptor"
"19","CLCF1","CNTFR","NicheNet","CLCF1*CNTFR","Ligand","Receptor"
"20","CLCF1","LIFR","NicheNet","CLCF1*LIFR","Ligand","Receptor"
"21","CLCF1","IL6ST","NicheNet","CLCF1*IL6ST","Ligand","Receptor"
"22","CTF1","LIFR","NicheNet","CTF1*LIFR","Ligand","Receptor"
"23","CTF1","IL6ST","NicheNet","CTF1*IL6ST","Ligand","Receptor"
"24","IL4","IL13RA1","NicheNet","IL4*IL13RA1","Ligand","Receptor"
"25","IL13","IL4R","NicheNet","IL13*IL4R","Ligand","Receptor"
"26","IL12A","IL12RB2","NicheNet","IL12A*IL12RB2","Ligand","Receptor"
"27","IL12A","IL12RB1","NicheNet","IL12A*IL12RB1","Ligand","Receptor"
"28","IL23A","IL12RB1","NicheNet","IL23A*IL12RB1","Ligand","Receptor"
"29","IL23A","IL23R","NicheNet","IL23A*IL23R","Ligand","Receptor"
"30","CSF2","CSF2RB","NicheNet","CSF2*CSF2RB","Ligand","Receptor"
"31","CSF2","CSF2RA","NicheNet","CSF2*CSF2RA","Ligand","Receptor"
"32","IL3","IL3RA","NicheNet","IL3*IL3RA","Ligand","Receptor"
"33","IL3","CSF2RB","NicheNet","IL3*CSF2RB","Ligand","Receptor"
"34","IL5","IL5RA","NicheNet","IL5*IL5RA","Ligand","Receptor"
"35","IL5","CSF2RB","NicheNet","IL5*CSF2RB","Ligand","Receptor"
"36","IL2","IL2RG","NicheNet","IL2*IL2RG","Ligand","Receptor"
"37","IL2","IL2RB","NicheNet","IL2*IL2RB","Ligand","Receptor"
"38","IL2","IL2RA","NicheNet","IL2*IL2RA","Ligand","Receptor"
"39","IL4","IL2RG","NicheNet","IL4*IL2RG","Ligand","Receptor"
"40","IL7","IL7R","NicheNet","IL7*IL7R","Ligand","Receptor"
"41","IL7","IL2RG","NicheNet","IL7*IL2RG","Ligand","Receptor"
"42","IL9","IL9R","NicheNet","IL9*IL9R","Ligand","Receptor"
"43","IL9","IL2RG","NicheNet","IL9*IL2RG","Ligand","Receptor"
"44","IL15","IL2RG","NicheNet","IL15*IL2RG","Ligand","Receptor"
"45","IL15","IL15RA","NicheNet","IL15*IL15RA","Ligand","Receptor"
"46","IL15","IL2RB","NicheNet","IL15*IL2RB","Ligand","Receptor"
"47","IL21","IL2RG","NicheNet","IL21*IL2RG","Ligand","Receptor"
"48","IL21","IL21R","NicheNet","IL21*IL21R","Ligand","Receptor"
"49","TSLP","CRLF2","NicheNet","TSLP*CRLF2","Ligand","Receptor"
"50","TSLP","IL7R","NicheNet","TSLP*IL7R","Ligand","Receptor"
"51","GH2","GHR","NicheNet","GH2*GHR","Ligand","Receptor"
"52","PLEKHO2","PDGFRB","NicheNet","PLEKHO2*PDGFRB","Ligand","Receptor"
"53","IFNA1","IFNAR2","NicheNet","IFNA1*IFNAR2","Ligand","Receptor"
"54","IFNA1","IFNAR1","NicheNet","IFNA1*IFNAR1","Ligand","Receptor"
"55","IFNB1","IFNAR2","NicheNet","IFNB1*IFNAR2","Ligand","Receptor"
"56","IFNB1","IFNAR1","NicheNet","IFNB1*IFNAR1","Ligand","Receptor"
"57","IFNW1","IFNAR2","NicheNet","IFNW1*IFNAR2","Ligand","Receptor"
"58","IFNW1","IFNAR1","NicheNet","IFNW1*IFNAR1","Ligand","Receptor"
"59","IFNK","IFNAR2","NicheNet","IFNK*IFNAR2","Ligand","Receptor"
"60","IFNK","IFNAR1","NicheNet","IFNK*IFNAR1","Ligand","Receptor"
"61","IFNE","IFNAR2","NicheNet","IFNE*IFNAR2","Ligand","Receptor"
"62","IFNE","IFNAR1","NicheNet","IFNE*IFNAR1","Ligand","Receptor"
"63","IFNG","IFNGR2","NicheNet","IFNG*IFNGR2","Ligand","Receptor"
"64","IFNG","IFNGR1","NicheNet","IFNG*IFNGR1","Ligand","Receptor"
"65","IL10","IL10RB","NicheNet","IL10*IL10RB","Ligand","Receptor"
"66","IL10","IL10RA","NicheNet","IL10*IL10RA","Ligand","Receptor"
"67","IL19","IL20RA","NicheNet","IL19*IL20RA","Ligand","Receptor"
"68","IL20","IL20RA","NicheNet","IL20*IL20RA","Ligand","Receptor"
"69","IL20","IL22RA1","NicheNet","IL20*IL22RA1","Ligand","Receptor"
"70","IL24","IL20RA","NicheNet","IL24*IL20RA","Ligand","Receptor"
"71","IL24","IL22RA1","NicheNet","IL24*IL22RA1","Ligand","Receptor"
"72","IL22","IL10RB","NicheNet","IL22*IL10RB","Ligand","Receptor"
"73","IL22","IL22RA1","NicheNet","IL22*IL22RA1","Ligand","Receptor"
"74","IL22","IL22RA2","NicheNet","IL22*IL22RA2","Ligand","Receptor"
"75","IFNL2","IL10RB","NicheNet","IFNL2*IL10RB","Ligand","Receptor"
"76","IFNL2","IFNLR1","NicheNet","IFNL2*IFNLR1","Ligand","Receptor"
"77","IFNL3","IL10RB","NicheNet","IFNL3*IL10RB","Ligand","Receptor"
"78","IFNL3","IFNLR1","NicheNet","IFNL3*IFNLR1","Ligand","Receptor"
"79","IFNL1","IL10RB","NicheNet","IFNL1*IL10RB","Ligand","Receptor"
"80","IFNL1","IFNLR1","NicheNet","IFNL1*IFNLR1","Ligand","Receptor"
"81","TNFSF10","TNFRSF10B","NicheNet","TNFSF10*TNFRSF10B","Ligand","Receptor"
"82","TNFSF10","TNFRSF10C","NicheNet","TNFSF10*TNFRSF10C","Ligand","Receptor"
"83","TNFSF10","TNFRSF10D","NicheNet","TNFSF10*TNFRSF10D","Ligand","Receptor"
"84","TNFSF10","TNFRSF11B","NicheNet","TNFSF10*TNFRSF11B","Ligand","Receptor"
"85","LTA","LTBR","NicheNet","LTA*LTBR","Ligand","Receptor"
"86","LTB","LTBR","NicheNet","LTB*LTBR","Ligand","Receptor"
"87","TGFB1","TGFBR1","NicheNet","TGFB1*TGFBR1","Ligand","Receptor"
"88","TGFB1","TGFBR2","NicheNet","TGFB1*TGFBR2","Ligand","Receptor"
"89","TGFB2","TGFBR1","NicheNet","TGFB2*TGFBR1","Ligand","Receptor"
"90","TGFB2","TGFBR2","NicheNet","TGFB2*TGFBR2","Ligand","Receptor"
"91","TGFB3","TGFBR1","NicheNet","TGFB3*TGFBR1","Ligand","Receptor"
"92","TGFB3","TGFBR2","NicheNet","TGFB3*TGFBR2","Ligand","Receptor"
"93","INHBA","ACVR1","NicheNet","INHBA*ACVR1","Ligand","Receptor"
"94","INHBA","ACVR2A","NicheNet","INHBA*ACVR2A","Ligand","Receptor"
"95","INHBA","ACVR1B","NicheNet","INHBA*ACVR1B","Ligand","Receptor"
"96","INHBA","ACVR2B","NicheNet","INHBA*ACVR2B","Ligand","Receptor"
"97","INHBB","ACVR1","NicheNet","INHBB*ACVR1","Ligand","Receptor"
"98","INHBB","ACVR2A","NicheNet","INHBB*ACVR2A","Ligand","Receptor"
"99","INHBB","ACVR1B","NicheNet","INHBB*ACVR1B","Ligand","Receptor"
"100","INHBB","ACVR2B","NicheNet","INHBB*ACVR2B","Ligand","Receptor"
"101","INHBC","ACVR1","NicheNet","INHBC*ACVR1","Ligand","Receptor"
"102","INHBC","ACVR2A","NicheNet","INHBC*ACVR2A","Ligand","Receptor"
"103","INHBC","ACVR1B","NicheNet","INHBC*ACVR1B","Ligand","Receptor"
"104","INHBC","ACVR2B","NicheNet","INHBC*ACVR2B","Ligand","Receptor"
"105","INHBE","ACVR1","NicheNet","INHBE*ACVR1","Ligand","Receptor"
"106","INHBE","ACVR2A","NicheNet","INHBE*ACVR2A","Ligand","Receptor"
"107","INHBE","ACVR1B","NicheNet","INHBE*ACVR1B","Ligand","Receptor"
"108","INHBE","ACVR2B","NicheNet","INHBE*ACVR2B","Ligand","Receptor"
"109","AMH","ACVR1","NicheNet","AMH*ACVR1","Ligand","Receptor"
"110","AMH","AMHR2","NicheNet","AMH*AMHR2","Ligand","Receptor"
"111","BMP2","ACVR1","NicheNet","BMP2*ACVR1","Ligand","Receptor"
"112","BMP2","BMPR2","NicheNet","BMP2*BMPR2","Ligand","Receptor"
"113","BMP2","BMPR1B","NicheNet","BMP2*BMPR1B","Ligand","Receptor"
"114","BMP2","BMPR1A","NicheNet","BMP2*BMPR1A","Ligand","Receptor"
"115","BMP7","BMPR1B","NicheNet","BMP7*BMPR1B","Ligand","Receptor"
"116","BMP7","ACVR2A","NicheNet","BMP7*ACVR2A","Ligand","Receptor"
"117","GDF5","BMPR1A","NicheNet","GDF5*BMPR1A","Ligand","Receptor"
"118","GDF5","ACVR2A","NicheNet","GDF5*ACVR2A","Ligand","Receptor"
"119","IL1A","IL1RAP","NicheNet","IL1A*IL1RAP","Ligand","Receptor"
"120","IL1A","IL1R1","NicheNet","IL1A*IL1R1","Ligand","Receptor"
"121","IL1B","IL1RAP","NicheNet","IL1B*IL1RAP","Ligand","Receptor"
"122","IL1B","IL1R1","NicheNet","IL1B*IL1R1","Ligand","Receptor"
"123","IL18","IL18RAP","NicheNet","IL18*IL18RAP","Ligand","Receptor"
"124","IL18","IL18R1","NicheNet","IL18*IL18R1","Ligand","Receptor"
"125","IL25","IL17RA","NicheNet","IL25*IL17RA","Ligand","Receptor"
"126","IL17A","IL17RA","NicheNet","IL17A*IL17RA","Ligand","Receptor"
"127","IL17A","IL17RC","NicheNet","IL17A*IL17RC","Ligand","Receptor"
"128","IL17F","IL17RA","NicheNet","IL17F*IL17RA","Ligand","Receptor"
"129","IL17F","IL17RC","NicheNet","IL17F*IL17RC","Ligand","Receptor"
"130","IL17C","IL17RA","NicheNet","IL17C*IL17RA","Ligand","Receptor"
"131","CD58","CD2","NicheNet","CD58*CD2","Ligand","Receptor"
"132","ITGAL","CD226","NicheNet","ITGAL*CD226","Ligand","Receptor"
"133","ITGAL","ICAM1","NicheNet","ITGAL*ICAM1","Ligand","Receptor"
"134","ICAM1","ITGB2","NicheNet","ICAM1*ITGB2","Ligand","Receptor"
"135","CD28","CD80","NicheNet","CD28*CD80","Ligand","Receptor"
"136","ITGAM","ICAM1","NicheNet","ITGAM*ICAM1","Ligand","Receptor"
"137","ITGB1","VCAM1","NicheNet","ITGB1*VCAM1","Ligand","Receptor"
"138","ITGA4","VCAM1","NicheNet","ITGA4*VCAM1","Ligand","Receptor"
"139","ITGA9","VCAM1","NicheNet","ITGA9*VCAM1","Ligand","Receptor"
"140","NECTIN1","NECTIN1","NicheNet","NECTIN1*NECTIN1","Ligand","Receptor"
"141","JAM3","ITGB2","NicheNet","JAM3*ITGB2","Ligand","Receptor"
"142","JAM3","ITGAM","NicheNet","JAM3*ITGAM","Ligand","Receptor"
"143","ICAM2","ITGB2","NicheNet","ICAM2*ITGB2","Ligand","Receptor"
"144","ICAM2","ITGAL","NicheNet","ICAM2*ITGAL","Ligand","Receptor"
"145","F11R","ITGB2","NicheNet","F11R*ITGB2","Ligand","Receptor"
"146","F11R","ITGAL","NicheNet","F11R*ITGAL","Ligand","Receptor"
"147","ICAM3","ITGB2","NicheNet","ICAM3*ITGB2","Ligand","Receptor"
"148","ICAM3","ITGAL","NicheNet","ICAM3*ITGAL","Ligand","Receptor"
"149","ICAM2","ITGAM","NicheNet","ICAM2*ITGAM","Ligand","Receptor"
"150","JAM2","ITGB1","NicheNet","JAM2*ITGB1","Ligand","Receptor"
"151","JAM2","ITGA4","NicheNet","JAM2*ITGA4","Ligand","Receptor"
"152","VCAM1","ITGB7","NicheNet","VCAM1*ITGB7","Ligand","Receptor"
"153","VCAM1","ITGA4","NicheNet","VCAM1*ITGA4","Ligand","Receptor"
"154","MADCAM1","ITGB7","NicheNet","MADCAM1*ITGB7","Ligand","Receptor"
"155","MADCAM1","ITGA4","NicheNet","MADCAM1*ITGA4","Ligand","Receptor"
"156","CD34","SELL","NicheNet","CD34*SELL","Ligand","Receptor"
"157","L1CAM","NCAM1","NicheNet","L1CAM*NCAM1","Ligand","Receptor"
"158","NFASC","CNTNAP1","NicheNet","NFASC*CNTNAP1","Ligand","Receptor"
"159","NFASC","CNTN1","NicheNet","NFASC*CNTN1","Ligand","Receptor"
"160","CNTN2","CNTNAP2","NicheNet","CNTN2*CNTNAP2","Ligand","Receptor"
"161","NECTIN2","NECTIN3","NicheNet","NECTIN2*NECTIN3","Ligand","Receptor"
"162","CDH3","CDH3","NicheNet","CDH3*CDH3","Ligand","Receptor"
"163","CD274","CD80","NicheNet","CD274*CD80","Ligand","Receptor"
"164","CSH1","GHR","NicheNet","CSH1*GHR","Ligand","Receptor"
"165","COL1A1","ITGB1","NicheNet","COL1A1*ITGB1","Ligand","Receptor"
"166","COL1A1","ITGA1","NicheNet","COL1A1*ITGA1","Ligand","Receptor"
"167","LAMC3","ITGB1","NicheNet","LAMC3*ITGB1","Ligand","Receptor"
"168","LAMC3","ITGA1","NicheNet","LAMC3*ITGA1","Ligand","Receptor"
"169","COL1A1","ITGA2","NicheNet","COL1A1*ITGA2","Ligand","Receptor"
"170","LAMC3","ITGA2","NicheNet","LAMC3*ITGA2","Ligand","Receptor"
"171","CHAD","ITGA2","NicheNet","CHAD*ITGA2","Ligand","Receptor"
"172","CHAD","ITGB1","NicheNet","CHAD*ITGB1","Ligand","Receptor"
"173","LAMC3","ITGA3","NicheNet","LAMC3*ITGA3","Ligand","Receptor"
"174","RELN","ITGA3","NicheNet","RELN*ITGA3","Ligand","Receptor"
"175","RELN","ITGB1","NicheNet","RELN*ITGB1","Ligand","Receptor"
"176","COMP","ITGA3","NicheNet","COMP*ITGA3","Ligand","Receptor"
"177","COMP","ITGB1","NicheNet","COMP*ITGB1","Ligand","Receptor"
"178","COL1A1","ITGA3","NicheNet","COL1A1*ITGA3","Ligand","Receptor"
"179","FN1","ITGA3","NicheNet","FN1*ITGA3","Ligand","Receptor"
"180","FN1","ITGB1","NicheNet","FN1*ITGB1","Ligand","Receptor"
"181","FN1","ITGA4","NicheNet","FN1*ITGA4","Ligand","Receptor"
"182","SPP1","ITGA4","NicheNet","SPP1*ITGA4","Ligand","Receptor"
"183","SPP1","ITGB1","NicheNet","SPP1*ITGB1","Ligand","Receptor"
"184","FN1","ITGA5","NicheNet","FN1*ITGA5","Ligand","Receptor"
"185","LAMC3","ITGA6","NicheNet","LAMC3*ITGA6","Ligand","Receptor"
"186","LAMC3","ITGA7","NicheNet","LAMC3*ITGA7","Ligand","Receptor"
"187","FN1","ITGA8","NicheNet","FN1*ITGA8","Ligand","Receptor"
"188","VTN","ITGB1","NicheNet","VTN*ITGB1","Ligand","Receptor"
"189","VTN","ITGA8","NicheNet","VTN*ITGA8","Ligand","Receptor"
"190","TNC","ITGB1","NicheNet","TNC*ITGB1","Ligand","Receptor"
"191","TNC","ITGA8","NicheNet","TNC*ITGA8","Ligand","Receptor"
"192","TNC","ITGA9","NicheNet","TNC*ITGA9","Ligand","Receptor"
"193","SPP1","ITGA9","NicheNet","SPP1*ITGA9","Ligand","Receptor"
"194","COL1A1","ITGA9","NicheNet","COL1A1*ITGA9","Ligand","Receptor"
"195","LAMC3","ITGA9","NicheNet","LAMC3*ITGA9","Ligand","Receptor"
"196","COL1A1","ITGA10","NicheNet","COL1A1*ITGA10","Ligand","Receptor"
"197","COL1A1","ITGA11","NicheNet","COL1A1*ITGA11","Ligand","Receptor"
"198","FN1","ITGAV","NicheNet","FN1*ITGAV","Ligand","Receptor"
"199","SPP1","ITGAV","NicheNet","SPP1*ITGAV","Ligand","Receptor"
"200","VTN","ITGAV","NicheNet","VTN*ITGAV","Ligand","Receptor"
"201","FN1","ITGB7","NicheNet","FN1*ITGB7","Ligand","Receptor"
"202","VTN","ITGB3","NicheNet","VTN*ITGB3","Ligand","Receptor"
"203","FN1","ITGB3","NicheNet","FN1*ITGB3","Ligand","Receptor"
"204","VWF","ITGAV","NicheNet","VWF*ITGAV","Ligand","Receptor"
"205","VWF","ITGB3","NicheNet","VWF*ITGB3","Ligand","Receptor"
"206","SPP1","ITGB3","NicheNet","SPP1*ITGB3","Ligand","Receptor"
"207","TNC","ITGAV","NicheNet","TNC*ITGAV","Ligand","Receptor"
"208","TNC","ITGB3","NicheNet","TNC*ITGB3","Ligand","Receptor"
"209","IBSP","ITGAV","NicheNet","IBSP*ITGAV","Ligand","Receptor"
"210","IBSP","ITGB3","NicheNet","IBSP*ITGB3","Ligand","Receptor"
"211","COMP","ITGAV","NicheNet","COMP*ITGAV","Ligand","Receptor"
"212","COMP","ITGB3","NicheNet","COMP*ITGB3","Ligand","Receptor"
"213","VTN","ITGA2B","NicheNet","VTN*ITGA2B","Ligand","Receptor"
"214","FN1","ITGA2B","NicheNet","FN1*ITGA2B","Ligand","Receptor"
"215","VWF","ITGA2B","NicheNet","VWF*ITGA2B","Ligand","Receptor"
"216","COMP","ITGA2B","NicheNet","COMP*ITGA2B","Ligand","Receptor"
"217","VTN","ITGB5","NicheNet","VTN*ITGB5","Ligand","Receptor"
"218","IBSP","ITGB5","NicheNet","IBSP*ITGB5","Ligand","Receptor"
"219","SPP1","ITGB5","NicheNet","SPP1*ITGB5","Ligand","Receptor"
"220","FN1","ITGB6","NicheNet","FN1*ITGB6","Ligand","Receptor"
"221","TNC","ITGB6","NicheNet","TNC*ITGB6","Ligand","Receptor"
"222","COL1A1","ITGAV","NicheNet","COL1A1*ITGAV","Ligand","Receptor"
"223","COL1A1","ITGB8","NicheNet","COL1A1*ITGB8","Ligand","Receptor"
"224","FN1","ITGB8","NicheNet","FN1*ITGB8","Ligand","Receptor"
"225","LAMC3","ITGAV","NicheNet","LAMC3*ITGAV","Ligand","Receptor"
"226","LAMC3","ITGB8","NicheNet","LAMC3*ITGB8","Ligand","Receptor"
"227","VTN","ITGB8","NicheNet","VTN*ITGB8","Ligand","Receptor"
"228","LAMC3","ITGB4","NicheNet","LAMC3*ITGB4","Ligand","Receptor"
"229","VWF","GP9","NicheNet","VWF*GP9","Ligand","Receptor"
"230","VWF","GP1BA","NicheNet","VWF*GP1BA","Ligand","Receptor"
"231","ADM2","CALCR","NicheNet","ADM2*CALCR","Ligand","Receptor"
"232","RSPO1","LGR4","NicheNet","RSPO1*LGR4","Ligand","Receptor"
"233","RSPO1","LGR6","NicheNet","RSPO1*LGR6","Ligand","Receptor"
"234","RSPO1","LGR5","NicheNet","RSPO1*LGR5","Ligand","Receptor"
"235","RSPO4","LGR4","NicheNet","RSPO4*LGR4","Ligand","Receptor"
"236","RSPO4","LGR6","NicheNet","RSPO4*LGR6","Ligand","Receptor"
"237","RSPO4","LGR5","NicheNet","RSPO4*LGR5","Ligand","Receptor"
"238","RSPO3","LGR4","NicheNet","RSPO3*LGR4","Ligand","Receptor"
"239","RSPO3","LGR6","NicheNet","RSPO3*LGR6","Ligand","Receptor"
"240","RSPO3","LGR5","NicheNet","RSPO3*LGR5","Ligand","Receptor"
"241","RSPO2","LGR4","NicheNet","RSPO2*LGR4","Ligand","Receptor"
"242","RSPO2","LGR6","NicheNet","RSPO2*LGR6","Ligand","Receptor"
"243","RSPO2","LGR5","NicheNet","RSPO2*LGR5","Ligand","Receptor"
"244","CALM1","PDE1C","NicheNet","CALM1*PDE1C","Ligand","Receptor"
"245","CALM1","KCNH1","NicheNet","CALM1*KCNH1","Ligand","Receptor"
"246","CALM1","MYLK","NicheNet","CALM1*MYLK","Ligand","Receptor"
"247","CALM1","MYLK2","NicheNet","CALM1*MYLK2","Ligand","Receptor"
"248","CALM1","PDE1A","NicheNet","CALM1*PDE1A","Ligand","Receptor"
"249","CALM3","PDE1C","NicheNet","CALM3*PDE1C","Ligand","Receptor"
"250","CALM3","KCNH1","NicheNet","CALM3*KCNH1","Ligand","Receptor"
"251","CALM3","MYLK","NicheNet","CALM3*MYLK","Ligand","Receptor"
"252","CALM3","MYLK2","NicheNet","CALM3*MYLK2","Ligand","Receptor"
"253","CALM3","PDE1A","NicheNet","CALM3*PDE1A","Ligand","Receptor"
"254","CALM2","PDE1C","NicheNet","CALM2*PDE1C","Ligand","Receptor"
"255","CALM2","KCNH1","NicheNet","CALM2*KCNH1","Ligand","Receptor"
"256","CALM2","MYLK","NicheNet","CALM2*MYLK","Ligand","Receptor"
"257","CALM2","MYLK2","NicheNet","CALM2*MYLK2","Ligand","Receptor"
"258","CALM2","PDE1A","NicheNet","CALM2*PDE1A","Ligand","Receptor"
"259","RLN2","RXFP1","NicheNet","RLN2*RXFP1","Ligand","Receptor"
"260","ALOX5AP","ALOX5","NicheNet","ALOX5AP*ALOX5","Ligand","Receptor"
"261","YARS","CXCR1","NicheNet","YARS*CXCR1","Ligand","Receptor"
"262","RPS19","C5AR1","NicheNet","RPS19*C5AR1","Ligand","Receptor"
"263","C5","C5AR2","NicheNet","C5*C5AR2","Ligand","Receptor"
"264","CCL19","CXCR3","NicheNet","CCL19*CXCR3","Ligand","Receptor"
"265","CCL19","CCRL2","NicheNet","CCL19*CCRL2","Ligand","Receptor"
"266","CCL20","CXCR3","NicheNet","CCL20*CXCR3","Ligand","Receptor"
"267","CXCL12","CXCR3","NicheNet","CXCL12*CXCR3","Ligand","Receptor"
"268","CXCL11","CCR3","NicheNet","CXCL11*CCR3","Ligand","Receptor"
"269","CXCL9","CCR3","NicheNet","CXCL9*CCR3","Ligand","Receptor"
"270","CXCL10","CCR3","NicheNet","CXCL10*CCR3","Ligand","Receptor"
"271","CCL5","GPR75","NicheNet","CCL5*GPR75","Ligand","Receptor"
"272","CCL5","CXCR3","NicheNet","CCL5*CXCR3","Ligand","Receptor"
"273","CCL8","CCR8","NicheNet","CCL8*CCR8","Ligand","Receptor"
"274","CCL8","CCR5","NicheNet","CCL8*CCR5","Ligand","Receptor"
"275","CCL13","CCR5","NicheNet","CCL13*CCR5","Ligand","Receptor"
"276","CCL13","CXCR3","NicheNet","CCL13*CXCR3","Ligand","Receptor"
"277","CCL7","CCR5","NicheNet","CCL7*CCR5","Ligand","Receptor"
"278","CCL7","CXCR3","NicheNet","CCL7*CXCR3","Ligand","Receptor"
"279","CCL11","CCR5","NicheNet","CCL11*CCR5","Ligand","Receptor"
"280","CCL11","CCR2","NicheNet","CCL11*CCR2","Ligand","Receptor"
"281","CCL11","CXCR3","NicheNet","CCL11*CXCR3","Ligand","Receptor"
"282","CCL24","CCR2","NicheNet","CCL24*CCR2","Ligand","Receptor"
"283","CCL26","CCR2","NicheNet","CCL26*CCR2","Ligand","Receptor"
"284","CCL2","CCR5","NicheNet","CCL2*CCR5","Ligand","Receptor"
"285","CCL2","CCR3","NicheNet","CCL2*CCR3","Ligand","Receptor"
"286","CCL16","HRH4","NicheNet","CCL16*HRH4","Ligand","Receptor"
"287","CCL16","CCR5","NicheNet","CCL16*CCR5","Ligand","Receptor"
"288","CCL16","CCR2","NicheNet","CCL16*CCR2","Ligand","Receptor"
"289","CCL14","CCR5","NicheNet","CCL14*CCR5","Ligand","Receptor"
"290","CCL4","CCR1","NicheNet","CCL4*CCR1","Ligand","Receptor"
"291","CSF3","CSF1R","NicheNet","CSF3*CSF1R","Ligand","Receptor"
"292","CSF2","CSF1R","NicheNet","CSF2*CSF1R","Ligand","Receptor"
"293","ANGPT4","TEK","NicheNet","ANGPT4*TEK","Ligand","Receptor"
"294","GALP","GALR3","NicheNet","GALP*GALR3","Ligand","Receptor"
"295","GAST","CCKAR","NicheNet","GAST*CCKAR","Ligand","Receptor"
"296","GAST","CCKBR","NicheNet","GAST*CCKBR","Ligand","Receptor"
"297","GNRH2","GNRHR","NicheNet","GNRH2*GNRHR","Ligand","Receptor"
"298","IGF1","TRPV2","NicheNet","IGF1*TRPV2","Ligand","Receptor"
"299","MST1","MST1R","NicheNet","MST1*MST1R","Ligand","Receptor"
"300","NDP","FZD4","NicheNet","NDP*FZD4","Ligand","Receptor"
"301","GRP","NMBR","NicheNet","GRP*NMBR","Ligand","Receptor"
"302","NTF3","NGFR","NicheNet","NTF3*NGFR","Ligand","Receptor"
"303","NTF4","NGFR","NicheNet","NTF4*NGFR","Ligand","Receptor"
"304","BDNF","NGFR","NicheNet","BDNF*NGFR","Ligand","Receptor"
"305","OXT","AVPR2","NicheNet","OXT*AVPR2","Ligand","Receptor"
"306","OXT","AVPR1B","NicheNet","OXT*AVPR1B","Ligand","Receptor"
"307","OXT","AVPR1A","NicheNet","OXT*AVPR1A","Ligand","Receptor"
"308","AVP","OXTR","NicheNet","AVP*OXTR","Ligand","Receptor"
"309","PNOC","OPRL1","NicheNet","PNOC*OPRL1","Ligand","Receptor"
"310","ARF1","PLD2","NicheNet","ARF1*PLD2","Ligand","Receptor"
"311","CSH2","PRLR","NicheNet","CSH2*PRLR","Ligand","Receptor"
"312","CSHL1","PRLR","NicheNet","CSHL1*PRLR","Ligand","Receptor"
"313","CSH1","PRLR","NicheNet","CSH1*PRLR","Ligand","Receptor"
"314","PTHLH","PTH2R","NicheNet","PTHLH*PTH2R","Ligand","Receptor"
"315","PPY","NPFFR2","NicheNet","PPY*NPFFR2","Ligand","Receptor"
"316","NPFF","MAS1","NicheNet","NPFF*MAS1","Ligand","Receptor"
"317","AGT","AGTR2","NicheNet","AGT*AGTR2","Ligand","Receptor"
"318","TAC3","TACR1","NicheNet","TAC3*TACR1","Ligand","Receptor"
"319","TAC4","TACR3","NicheNet","TAC4*TACR3","Ligand","Receptor"
"320","TAC1","TACR3","NicheNet","TAC1*TACR3","Ligand","Receptor"
"321","CRH","MC2R","NicheNet","CRH*MC2R","Ligand","Receptor"
"322","PENK","MRGPRX1","NicheNet","PENK*MRGPRX1","Ligand","Receptor"
"323","ASIP","MC1R","NicheNet","ASIP*MC1R","Ligand","Receptor"
"324","ASIP","MC4R","NicheNet","ASIP*MC4R","Ligand","Receptor"
"325","ASIP","MC3R","NicheNet","ASIP*MC3R","Ligand","Receptor"
"326","AGRP","MC4R","NicheNet","AGRP*MC4R","Ligand","Receptor"
"327","AGRP","MC3R","NicheNet","AGRP*MC3R","Ligand","Receptor"
"328","PDGFC","KDR","NicheNet","PDGFC*KDR","Ligand","Receptor"
"329","PDGFC","FLT4","NicheNet","PDGFC*FLT4","Ligand","Receptor"
"330","SCT","ADCYAP1R1","NicheNet","SCT*ADCYAP1R1","Ligand","Receptor"
"331","SCT","VIPR2","NicheNet","SCT*VIPR2","Ligand","Receptor"
"332","SCT","VIPR1","NicheNet","SCT*VIPR1","Ligand","Receptor"
"333","VIP","SCTR","NicheNet","VIP*SCTR","Ligand","Receptor"
