"","from","to","source","path","from.Role","to.Role"
"23942","IFNAR2","ERG","NicheNet","IFNAR2*ERG","Receptor","TF"
"23943","IFNB1","ATF2","NicheNet","IFNB1*ATF2","Receptor","TF"
"23944","IFNG","GATA1","NicheNet","IFNG*GATA1","Receptor","TF"
"23945","IFNG","EOMES","NicheNet","IFNG*EOMES","Receptor","TF"
"23946","IFNGR1","CTNNB1","NicheNet","IFNGR1*CTNNB1","Receptor","TF"
"23947","IGF1","GFAP","NicheNet","IGF1*GFAP","Receptor","TF"
"23948","CD74","AKT1","NicheNet","CD74*AKT1","Receptor","TF"
"23949","IL10","IGF1R","NicheNet","IL10*IGF1R","Receptor","TF"
"23950","IL10","BCL6","NicheNet","IL10*BCL6","Receptor","TF"
"23951","IL13","ATF3","NicheNet","IL13*ATF3","Receptor","TF"
"23952","IL13RA1","ATF3","NicheNet","IL13RA1*ATF3","Receptor","TF"
"23953","IL17A","BTK","NicheNet","IL17A*BTK","Receptor","TF"
"23954","IL18","IRF8","NicheNet","IL18*IRF8","Receptor","TF"
"23955","IL1A","NR1I3","NicheNet","IL1A*NR1I3","Receptor","TF"
"23956","IL1B","CEBPD","NicheNet","IL1B*CEBPD","Receptor","TF"
"23957","IL1R1","ATF2","NicheNet","IL1R1*ATF2","Receptor","TF"
"23958","IL2","PRDM1","NicheNet","IL2*PRDM1","Receptor","TF"
"23959","IL2RG","E2F1","NicheNet","IL2RG*E2F1","Receptor","TF"
"23960","IL4","ATF3","NicheNet","IL4*ATF3","Receptor","TF"
"23961","IL5","ATF3","NicheNet","IL5*ATF3","Receptor","TF"
"23962","IL5","CDK4","NicheNet","IL5*CDK4","Receptor","TF"
"23963","IL6","ABL1","NicheNet","IL6*ABL1","Receptor","TF"
"23964","IL7","ABL1","NicheNet","IL7*ABL1","Receptor","TF"
"23965","IL7R","GFI1","NicheNet","IL7R*GFI1","Receptor","TF"
"23966","INS","CREB1","NicheNet","INS*CREB1","Receptor","TF"
"23967","INS","ATF2","NicheNet","INS*ATF2","Receptor","TF"
"23968","INSR","CREB1","NicheNet","INSR*CREB1","Receptor","TF"
"23969","ITGA7","IGF1R","NicheNet","ITGA7*IGF1R","Receptor","TF"
"23970","ITGAM","RUNX2","NicheNet","ITGAM*RUNX2","Receptor","TF"
"23971","ITGB5","AKT1","NicheNet","ITGB5*AKT1","Receptor","TF"
"23972","ITGB5","BTK","NicheNet","ITGB5*BTK","Receptor","TF"
"23973","CD47","CEBPB","NicheNet","CD47*CEBPB","Receptor","TF"
"23974","ITPR1","CSTB","NicheNet","ITPR1*CSTB","Receptor","TF"
"23975","KDR","GATA2","NicheNet","KDR*GATA2","Receptor","TF"
"23976","KDR","ERBB2","NicheNet","KDR*ERBB2","Receptor","TF"
"23977","LIF","GFAP","NicheNet","LIF*GFAP","Receptor","TF"
"23978","LIF","CTNNB1","NicheNet","LIF*CTNNB1","Receptor","TF"
"23979","LIF","KLF4","NicheNet","LIF*KLF4","Receptor","TF"
"23980","LIF","FOS","NicheNet","LIF*FOS","Receptor","TF"
"23981","LIF","JUNB","NicheNet","LIF*JUNB","Receptor","TF"
"23982","LIF","PRDM1","NicheNet","LIF*PRDM1","Receptor","TF"
"23983","LIF","EGFR","NicheNet","LIF*EGFR","Receptor","TF"
"23984","LIFR","EGFR","NicheNet","LIFR*EGFR","Receptor","TF"
"23985","ANXA1","JUN","NicheNet","ANXA1*JUN","Receptor","TF"
"23986","LRP1","CTNNB1","NicheNet","LRP1*CTNNB1","Receptor","TF"
"23987","LRP1","AKT2","NicheNet","LRP1*AKT2","Receptor","TF"
"23988","LRP5","AKT1","NicheNet","LRP5*AKT1","Receptor","TF"
"23989","MADCAM1","LTBR","NicheNet","MADCAM1*LTBR","Receptor","TF"
"23990","MC4R","LEPR","NicheNet","MC4R*LEPR","Receptor","TF"
"23991","MERTK","EGFR","NicheNet","MERTK*EGFR","Receptor","TF"
"23992","MET","HDAC2","NicheNet","MET*HDAC2","Receptor","TF"
"23993","MET","CFTR","NicheNet","MET*CFTR","Receptor","TF"
"23994","MET","JUN","NicheNet","MET*JUN","Receptor","TF"
"23995","MET","EGR1","NicheNet","MET*EGR1","Receptor","TF"
"23996","MET","LYL1","NicheNet","MET*LYL1","Receptor","TF"
"23997","MET","CEBPB","NicheNet","MET*CEBPB","Receptor","TF"
"23998","MET","FST","NicheNet","MET*FST","Receptor","TF"
"23999","MET","ALK","NicheNet","MET*ALK","Receptor","TF"
"24000","KITLG","ABL1","NicheNet","KITLG*ABL1","Receptor","TF"
"24001","MRC2","MET","NicheNet","MRC2*MET","Receptor","TF"
"24002","NCAM1","LEF1","NicheNet","NCAM1*LEF1","Receptor","TF"
"24003","NCAM1","ALX4","NicheNet","NCAM1*ALX4","Receptor","TF"
"24004","NCAM1","ACHE","NicheNet","NCAM1*ACHE","Receptor","TF"
"24005","NCAM1","GFAP","NicheNet","NCAM1*GFAP","Receptor","TF"
"24006","NCL","ATM","NicheNet","NCL*ATM","Receptor","TF"
"24007","NGF","EGR1","NicheNet","NGF*EGR1","Receptor","TF"
"24008","NGF","RUNX1","NicheNet","NGF*RUNX1","Receptor","TF"
"24009","NGFR","HTT","NicheNet","NGFR*HTT","Receptor","TF"
"24010","NGFR","ATF2","NicheNet","NGFR*ATF2","Receptor","TF"
"24011","NOTCH3","NFKB1","NicheNet","NOTCH3*NFKB1","Receptor","TF"
"24012","NPPB","AKT1","NicheNet","NPPB*AKT1","Receptor","TF"
"24013","NRP1","NR2F2","NicheNet","NRP1*NR2F2","Receptor","TF"
"24014","NRP1","CEBPB","NicheNet","NRP1*CEBPB","Receptor","TF"
"24015","NRXN1","LEF1","NicheNet","NRXN1*LEF1","Receptor","TF"
