"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AIF1",0,2.98972122625481,0.922,0.04,0
"ALOX15",0,2.34408614615315,0.571,0.015,0
"CD1A",0,2.42076251808883,0.67,0.035,0
"CD1B",0,2.36289009797315,0.599,0.026,0
"CD1C",0,2.96385869432783,0.867,0.039,0
"CD1E",0,2.80430151986199,0.776,0.029,0
"CLEC10A",0,2.97043063176103,0.912,0.041,0
"CLEC4A",0,2.40428398584627,0.67,0.026,0
"CLEC7A",0,2.36459438886976,0.735,0.034,0
"CPVL",0,2.66719158522661,0.861,0.046,0
"CSF1R",0,1.94986382859776,0.476,0.008,0
"FCER1A",0,2.8893157760499,0.813,0.037,0
"FCER1G",0,3.21311791140026,0.969,0.045,0
"FCGR2B",0,2.2189516446683,0.456,0.005,0
"FPR3",0,2.33821472083997,0.616,0.011,0
"GGTA1P",0,2.05436001350199,0.602,0.032,0
"HLA-DMA",0,2.64611832962723,0.929,0.067,0
"HLA-DMB",0,2.70085161337896,0.84,0.039,0
"HLA-DPA1",0,2.59603952275192,0.993,0.125,0
"HLA-DQA1",0,2.63537397268534,0.857,0.062,0
"HLA-DQB1",0,2.5313564977056,0.983,0.11,0
"HLA-DRB1",0,2.47805435426951,0.952,0.104,0
"HLA-DRB6",0,2.55828059776035,0.84,0.064,0
"IFI30",0,2.37769106040611,0.871,0.075,0
"IGSF6",0,2.35453555434119,0.656,0.024,0
"IL1R2",0,2.58125222518588,0.748,0.023,0
"LGALS2",0,2.65277294438503,0.799,0.04,0
"LST1",0,2.54370475124812,0.908,0.065,0
"LYZ",0,3.00056807009744,0.973,0.054,0
"MMP12",0,2.9096165686317,0.656,0.031,0
"MNDA",0,2.75531162289899,0.745,0.028,0
"MRC1",0,2.51319595087844,0.599,0.011,0
"MS4A6A",0,2.6045419299368,0.622,0.014,0
"NCF2",0,2.21343371569576,0.561,0.012,0
"PKIB",0,2.51395751601912,0.69,0.024,0
"RNASE6",0,2.16850625579463,0.643,0.035,0
"SPI1",0,2.69003309862335,0.871,0.042,0
"TYROBP",0,2.93379059001802,0.983,0.059,0
"HLA-DRA",6.14628838105394e-305,2.66130297388176,1,0.146,1.06502885066903e-300
"HCK",1.40879594783734e-295,1.85256289242406,0.51,0.022,2.44116161841254e-291
"HLA-DPB1",2.14038585095105e-293,2.46293854381789,1,0.142,3.70886060252799e-289
"C1QC",2.53599482306778e-290,2.19207505145309,0.473,0.018,4.39437182941185e-286
"C1QB",1.44807313435452e-289,2.19290843941767,0.473,0.018,2.5092211272095e-285
"C1QA",5.64432573314698e-276,2.09169070737671,0.415,0.013,9.78048763039709e-272
"SPINT2",1.1149657487242e-274,1.99189340993489,0.663,0.051,1.93201264938929e-270
"SYNGR2",6.5063148167396e-270,1.96947471514468,0.748,0.071,1.12741423144464e-265
"PLEK",4.60979926337939e-268,1.94589822123202,0.616,0.043,7.98786016358381e-264
"PTPRE",1.49556133161862e-267,2.02094489831163,0.796,0.084,2.59150867542875e-263
"CXorf21",2.36431728447004e-264,1.59532416072066,0.333,0.006,4.09688899052969e-260
"FCGR2A",7.38431132245643e-264,1.60827214190908,0.337,0.006,1.27955346595525e-259
"MARCH1",1.84536185376191e-263,1.65225954928002,0.418,0.015,3.19764302019864e-259
"FAM105A",1.69158600408191e-261,1.74264963367146,0.524,0.03,2.93118022787313e-257
"CTSH",4.56840875799965e-254,2.06143598957882,0.724,0.074,7.9161386958618e-250
"ITGAX",1.55575540073494e-230,1.57686937214115,0.354,0.012,2.69581295839351e-226
"C15orf48",6.71077190732e-227,2.2574860611685,0.531,0.039,1.16284255610041e-222
"CD36",6.11334147654965e-226,1.87592651569305,0.483,0.031,1.05931981105652e-221
"FBP1",9.00599643954541e-221,1.33887881078683,0.282,0.005,1.56055906304443e-216
"HLA-DQA2",4.45703125439256e-220,2.17927397941713,0.663,0.071,7.72314375761143e-216
"FGR",4.93042077990592e-218,1.38046152310876,0.299,0.007,8.54343312742098e-214
"HCAR2",5.56422680498869e-215,1.53814080889765,0.306,0.008,9.6416922076844e-211
"ITGAM",6.41531740659673e-215,1.46716615429139,0.306,0.008,1.11164620021508e-210
"PLAUR",3.96775261362449e-211,1.84074335819011,0.595,0.058,6.87532172888852e-207
"SLAMF8",4.22685097164937e-210,1.5531237951917,0.357,0.015,7.32428736367402e-206
"KCNK6",1.38956742939333e-209,1.65566506827767,0.507,0.039,2.40784244165275e-205
"CXCL8",4.16669937369609e-209,2.16258459730107,0.391,0.02,7.22005667474058e-205
"CLDN1",2.43989096857256e-206,1.87112519665888,0.459,0.031,4.22784307034253e-202
"GPAT3",9.50048514301594e-206,1.61179793896273,0.405,0.022,1.6462440655818e-201
"RAB31",4.86083693010913e-198,1.70886999728487,0.599,0.063,8.4228582324931e-194
"VAMP8",2.48331226708583e-196,1.64690530937236,0.881,0.139,4.30308349640633e-192
"CLECL1",9.91238047269741e-196,1.52801662821197,0.354,0.017,1.71761728830901e-191
"CD74",7.92256901828394e-195,2.03167713190869,1,0.25,1.37282275948824e-190
"MS4A7",4.8310146151077e-193,1.50705753959496,0.316,0.012,8.37118212505862e-189
"PYCARD",9.24132883181529e-192,1.74814130783881,0.752,0.11,1.60133745997695e-187
"NDRG2",1.24165003571927e-191,1.66995934018667,0.548,0.053,2.15153118189436e-187
"ITGB2",2.11533398033761e-188,1.55765525112539,0.84,0.128,3.66545072112902e-184
"B3GNT5",6.02528087308194e-186,1.43846359960585,0.323,0.014,1.04406066968764e-181
"TACSTD2",3.5011291946952e-183,1.91506263113522,0.49,0.043,6.06675666856784e-179
"CARD9",9.35058151845038e-183,1.23619648365458,0.269,0.008,1.62026876551708e-178
"FAM49B",2.18325065796854e-181,1.55397581674658,0.67,0.086,3.78313674012789e-177
"IL1RN",3.29830467183782e-180,1.62901414941894,0.32,0.014,5.71530233536057e-176
"DOK2",2.807353538863e-178,1.40995464097113,0.507,0.047,4.86458221214181e-174
"CD33",2.83740821196331e-177,1.27059133745468,0.255,0.007,4.91666094969003e-173
"SNX8",3.06902437945783e-175,1.51707956937308,0.452,0.038,5.31800544472453e-171
"NAPSB",2.33295185385118e-173,1.59626188940642,0.388,0.026,4.04253897235333e-169
"CD86",2.59706403254051e-170,1.56836520457474,0.361,0.022,4.5001925555862e-166
"CXCL16",2.8481148147801e-169,1.50850250827411,0.449,0.038,4.93521335105096e-165
"IGFLR1",3.79810752641191e-167,1.50943195639104,0.616,0.078,6.58136072176656e-163
"CCL17",2.7584756088752e-166,2.22866732487508,0.388,0.028,4.77988653505895e-162
"UCP2",2.0999651371351e-164,1.47321662513936,0.65,0.088,3.6388195896277e-160
"CD40",6.06479103567532e-164,1.6956900992399,0.534,0.061,1.05090699066182e-159
"ASAP1",3.18543112574563e-161,1.58884457601168,0.629,0.089,5.51971505469203e-157
"GCA",1.5949607213681e-160,1.47450902246396,0.476,0.047,2.76374793798664e-156
"HLA-DRB5",2.23692351141945e-160,2.08717912535669,0.333,0.02,3.87614106058763e-156
"CSF2RB",1.51433004180741e-159,1.48815744903934,0.378,0.028,2.62403109644388e-155
"CD83",2.12180062686782e-157,1.67441922116083,0.527,0.06,3.67665612623655e-153
"ATP1B1",1.20489072142011e-156,1.45268589013749,0.412,0.035,2.08783464207677e-152
"SLC16A3",2.68245281084941e-156,1.47223101809074,0.412,0.035,4.64815423063985e-152
"LIMS1",8.59369386057264e-156,1.672080747365,0.731,0.134,1.48911527216003e-151
"PPT1",7.44643922924661e-155,1.58720533358019,0.724,0.125,1.29031898964385e-150
"ARHGAP18",8.321456928103e-155,1.48254265502583,0.503,0.057,1.44194205650169e-150
